"id","taxonID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","scientificName","acceptedNameUsage","parentNameUsage","namePublishedIn","namePublishedInYear","higherClassification","phylum","class","order","family","genus","specificEpithet","infraspecificEpithet","taxonRank","scientificNameAuthorship","taxonomicStatus","nomenclaturalStatus","modified","bibliographicCitation","references"
"12","12","","120181","","Agaricales","","Basidiomycota","","","Flora;Fungos;stricto sensu;Basidiomycota;Agaricales","Basidiomycota","","Agaricales","","","","","ORDEM","","NOME_ACEITO","NOME_CORRETO","2015-03-02 14:38:28.833","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB12"
"13","13","","120181","","Auriculariales","","Basidiomycota","","","Flora;Fungos;stricto sensu;Basidiomycota;Auriculariales","Basidiomycota","","Auriculariales","","","","","ORDEM","","NOME_ACEITO","NOME_CORRETO","2014-09-26 11:01:06.918","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB13"
"14","14","","120181","","Boletales E.-J.Gilbert","","Basidiomycota","","","Flora;Fungos;stricto sensu;Basidiomycota;Boletales E.-J.Gilbert","Basidiomycota","","Boletales","","","","","ORDEM","E.-J.Gilbert","NOME_ACEITO","NOME_CORRETO","2014-09-05 13:54:33.185","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB14"
"15","15","","120181","","Geastrales","","Basidiomycota","","","Flora;Fungos;stricto sensu;Basidiomycota;Geastrales","Basidiomycota","","Geastrales","","","","","ORDEM","","NOME_ACEITO","NOME_CORRETO","2015-03-05 17:48:09.918","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB15"
"16","16","","120180","","Helotiales","","Ascomycota Caval.-Sm.","","","Flora;Fungos;stricto sensu;Ascomycota Caval.-Sm.;Helotiales","Ascomycota","","Helotiales","","","","","ORDEM","","NOME_ACEITO","NOME_CORRETO","2014-03-17 08:17:41.765","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB16"
"17","17","","120181","","Hymenochaetales Oberw.","","Basidiomycota","","","Flora;Fungos;stricto sensu;Basidiomycota;Hymenochaetales Oberw.","Basidiomycota","","Hymenochaetales","","","","","ORDEM","Oberw.","NOME_ACEITO","NOME_CORRETO","2014-09-26 12:58:50.51","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB17"
"18","18","","120180","","Hypocreales","","Ascomycota Caval.-Sm.","","","Flora;Fungos;stricto sensu;Ascomycota Caval.-Sm.;Hypocreales","Ascomycota","","Hypocreales","","","","","ORDEM","","NOME_ACEITO","NOME_CORRETO","2015-03-07 13:02:06.304","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB18"
"21","21","","120180","","Pezizales J. Schröt.","","Ascomycota Caval.-Sm.","","","Flora;Fungos;stricto sensu;Ascomycota Caval.-Sm.;Pezizales J. Schröt.","Ascomycota","","Pezizales","","","","","ORDEM","J. Schröt.","NOME_ACEITO","NOME_CORRETO","2015-03-06 14:59:22.16","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB21"
"22","22","","120181","","Phallales Fischer","","Basidiomycota","","","Flora;Fungos;stricto sensu;Basidiomycota;Phallales Fischer","Basidiomycota","","Phallales","","","","","ORDEM","Fischer","NOME_ACEITO","NOME_CORRETO","2015-02-20 21:12:29.429","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB22"
"23","23","","120181","","Polyporales Gäum.","","Basidiomycota","","","Flora;Fungos;stricto sensu;Basidiomycota;Polyporales Gäum.","Basidiomycota","","Polyporales","","","","","ORDEM","Gäum.","NOME_ACEITO","NOME_CORRETO","2015-03-07 14:48:38.997","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB23"
"24","24","","120181","","Russulales Kreisel ex P.M.Kirk et al.","","Basidiomycota","","","Flora;Fungos;stricto sensu;Basidiomycota;Russulales Kreisel ex P.M.Kirk et al.","Basidiomycota","","Russulales","","","","","ORDEM","Kreisel ex P.M.Kirk et al.","NOME_ACEITO","NOME_CORRETO","2014-09-26 14:00:08.462","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB24"
"25","25","","120181","","Pucciniales","","Basidiomycota","","","Flora;Fungos;stricto sensu;Basidiomycota;Pucciniales","Basidiomycota","","Pucciniales","","","","","ORDEM","","NOME_ACEITO","NOME_CORRETO","2015-03-04 17:58:12.476","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB25"
"26","26","","120180","","Xylariales","","Ascomycota Caval.-Sm.","","","Flora;Fungos;stricto sensu;Ascomycota Caval.-Sm.;Xylariales","Ascomycota","","Xylariales","","","","","ORDEM","","NOME_ACEITO","NOME_CORRETO","2015-02-02 09:14:52.026","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB26"
"27","27","","120170","","Ceratiomyxales","","Myxomycota","","","Flora;Fungos;lato sensu;Myxomycota;Ceratiomyxales","Myxomycota","","Ceratiomyxales","","","","","ORDEM","","NOME_ACEITO","NOME_CORRETO","2016-12-29 17:29:29.503","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB27"
"33","33","","","","Acanthaceae Juss.","","","","","Flora;Angiospermas;Acanthaceae Juss.","","","","Acanthaceae","","","","FAMILIA","Juss.","NOME_ACEITO","NOME_CORRETO","2017-06-09 17:35:07.02","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB33"
"34","34","","","","Achariaceae Harms","","","","","Flora;Angiospermas;Achariaceae Harms","","","","Achariaceae","","","","FAMILIA","Harms","NOME_ACEITO","NOME_CORRETO","2017-03-08 10:31:48.737","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB34"
"35","35","","","","Achatocarpaceae Heimerl","","","","","Flora;Angiospermas;Achatocarpaceae Heimerl","","","","Achatocarpaceae","","","","FAMILIA","Heimerl","NOME_ACEITO","NOME_CORRETO","2017-01-16 15:59:53.218","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB35"
"36","36","","","","Adoxaceae E.Mey.","","","","","Flora;Angiospermas;Adoxaceae E.Mey.","","","","Adoxaceae","","","","FAMILIA","E.Mey.","NOME_ACEITO","NOME_CORRETO","2017-03-15 10:42:48.261","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB36"
"37","37","34091","","","Agavaceae Dumort.","Asparagaceae Juss.","","","","Flora;Angiospermas;Agavaceae Dumort.","","","","Agavaceae","","","","FAMILIA","Dumort.","SINONIMO","","2017-03-22 15:29:21.982","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB37"
"38","38","","","","Aizoaceae Martinov","","","","","Flora;Angiospermas;Aizoaceae Martinov","","","","Aizoaceae","","","","FAMILIA","Martinov","NOME_ACEITO","NOME_CORRETO","2017-06-12 20:09:22.424","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB38"
"39","39","","","","Alismataceae Vent.","","","","","Flora;Angiospermas;Alismataceae Vent.","","","","Alismataceae","","","","FAMILIA","Vent.","NOME_ACEITO","NOME_CORRETO","2017-04-23 11:29:21.998","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB39"
"40","40","43","","","Alliaceae Borkh.","Amaryllidaceae J. St.-Hil.","","","","Flora;Angiospermas;Alliaceae Borkh.","","","","Alliaceae","","","","FAMILIA","Borkh.","SINONIMO","NOME_LEGITIMO_MAS_INCORRETO","2014-10-09 12:12:29.809","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB40"
"41","41","","","","Alstroemeriaceae Dumort.","","","","","Flora;Angiospermas;Alstroemeriaceae Dumort.","","","","Alstroemeriaceae","","","","FAMILIA","Dumort.","NOME_ACEITO","NOME_CORRETO","2017-05-12 09:23:59.124","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB41"
"42","42","","","","Amaranthaceae A.Juss.","","","","","Flora;Angiospermas;Amaranthaceae A.Juss.","","","","Amaranthaceae","","","","FAMILIA","A.Juss.","NOME_ACEITO","NOME_CORRETO","2017-05-15 11:24:36.501","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB42"
"43","43","","","","Amaryllidaceae J. St.-Hil.","","","","","Flora;Angiospermas;Amaryllidaceae J. St.-Hil.","","","","Amaryllidaceae","","","","FAMILIA","J. St.-Hil.","NOME_ACEITO","NOME_CORRETO_VIA_CONSERVACAO","2017-01-02 15:55:14.07","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB43"
"44","44","","","","Anacardiaceae R.Br.","","","","","Flora;Angiospermas;Anacardiaceae R.Br.","","","","Anacardiaceae","","","","FAMILIA","R.Br.","NOME_ACEITO","NOME_CORRETO","2017-01-12 13:05:55.097","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB44"
"46","46","","","","Anisophylleaceae Ridl.","","","","","Flora;Angiospermas;Anisophylleaceae Ridl.","","","","Anisophylleaceae","","","","FAMILIA","Ridl.","NOME_ACEITO","NOME_CORRETO","2016-07-21 14:09:07.763","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB46"
"47","47","","","","Apiaceae Lindl.","","","","","Flora;Angiospermas;Apiaceae Lindl.","","","","Apiaceae","","","","FAMILIA","Lindl.","NOME_ACEITO","NOME_CORRETO","2015-07-21 12:17:06.218","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB47"
"48","48","","","","Apocynaceae Juss.","","","","","Flora;Angiospermas;Apocynaceae Juss.","","","","Apocynaceae","","","","FAMILIA","Juss.","NOME_ACEITO","NOME_CORRETO","2017-04-28 14:05:08.63","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB48"
"49","49","","","","Apodanthaceae Tiegh. ex Takht.","","","","","Flora;Angiospermas;Apodanthaceae Tiegh. ex Takht.","","","","Apodanthaceae","","","","FAMILIA","Tiegh. ex Takht.","NOME_ACEITO","NOME_CORRETO","2017-01-17 14:18:23.583","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB49"
"50","50","","","","Aquifoliaceae Bercht. & J.Presl","","","","","Flora;Angiospermas;Aquifoliaceae Bercht. & J.Presl","","","","Aquifoliaceae","","","","FAMILIA","Bercht. & J.Presl","NOME_ACEITO","NOME_CORRETO_VIA_CONSERVACAO","2017-04-10 16:08:00.534","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB50"
"51","51","","","","Araceae Juss.","","","","","Flora;Angiospermas;Araceae Juss.","","","","Araceae","","","","FAMILIA","Juss.","NOME_ACEITO","NOME_CORRETO","2017-03-02 15:27:58.152","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB51"
"52","52","","","","Araliaceae Juss.","","","","","Flora;Angiospermas;Araliaceae Juss.","","","","Araliaceae","","","","FAMILIA","Juss.","NOME_ACEITO","NOME_CORRETO","2016-12-25 20:47:34.998","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB52"
